date,lgdp100,core_pce_ann,real_rate
1960-01-01,816.5415095465921,1.25953129633891,2.05261403865281
1960-04-01,816.0016979006309,1.51899740519761,2.0835968847739705
1960-07-01,816.4904328829939,1.55882459527092,1.66979270171545
1960-10-01,815.1989985005621,1.30918951611556,1.6766316009805697
1961-01-01,815.8717484219001,0.683322392728366,1.8206838268832097
1961-04-01,817.5553506501731,1.31365218756709,1.8720201312908398
1961-07-01,819.457510137889,1.72869519404676,1.8295524815968798
1961-10-01,821.400186991568,0.963784042060444,1.9159038501106598
1962-01-01,823.168129575973,1.48025053868638,1.7166718136211498
1962-04-01,824.0688155851901,1.53448352058553,1.6614639803665399
1962-07-01,825.290884477019,1.30732162148299,1.7668073735074799
1962-10-01,825.619745009363,0.753310122767461,1.8194258533307297
1963-01-01,826.705915191659,1.32018252695936,1.8594428562624798
1963-04-01,827.8220771956439,1.51388722173777,1.8645919309744199
1963-07-01,829.9970825234179,1.5310077173445,2.24056582366559
1963-10-01,830.650845573819,1.9312230165552,2.0380719005601495
1964-01-01,832.737633491249,1.68819052533176,1.94606990096705
1964-04-01,833.8208142284931,1.187736733182,2.02760752310599
1964-07-01,835.371332978279,1.10673789981509,2.13367497748835
1964-10-01,835.680047052232,1.02317409771266,2.57899046449359
1965-01-01,838.071139348044,1.50296104776602,2.9087810981958997
1965-04-01,839.3266949850879,1.24682729278462,3.0034816430642595
1965-07-01,841.5255035022691,1.22821238651828,2.97000968203184
1965-10-01,843.803266117641,1.33487716336452,2.98733239490642
1966-01-01,846.2079556179119,1.99102188512387,3.27991873356535
1966-04-01,846.5488443972429,3.24802378850355,3.15669357510153
1966-07-01,847.3921114560691,3.27550894515694,3.1756843812837
1966-10-01,848.2091678695881,3.45349266508561,2.80795186407423
1967-01-01,849.091061049586,2.19289295576741,1.9627812534902302
1967-04-01,849.152393706652,2.669736707713,1.2296370586503702
1967-07-01,850.094022461429,3.60085037778697,1.0457795835189803
1967-10-01,850.8450485090959,4.02916296347616,1.1991732667167403
1968-01-01,852.8638048472899,4.53415201857521,1.2694460607289697
1968-04-01,854.5203805541529,4.62729805939907,2.05743760243723
1968-07-01,855.291915118027,4.42905921386978,1.8112314174696102
1968-10-01,855.683919873452,4.64467043203335,1.6242383695541198
1969-01-01,857.236239475486,4.35364504871592,2.3686261250110796
1969-04-01,857.5391342319999,4.75449896256929,4.266552685026771
1969-07-01,858.196918435515,4.5717069689637,4.95138832336286
1969-10-01,857.7075137517321,4.68552000053477,4.8961713097688495
1970-01-01,857.558511084194,4.33133606666358,4.47950399555121
1970-04-01,857.700129173441,4.50160130556928,3.801868837128599
1970-07-01,858.617376949429,4.40823320396949,2.55889627132556
1970-10-01,857.540021083269,5.59545236741983,1.0962873117746303
1971-01-01,860.219937601735,5.03327909275431,-0.8923693804092498
1971-04-01,860.7592971279489,4.54016895718993,-0.15489695931395975
1971-07-01,861.5783802897979,3.74489347781698,0.9800400195207297
1971-10-01,861.812969555017,2.28567175726509,1.0306377539239806
1972-01-01,863.633512557391,3.8146122338404,0.07053848345842972
1972-04-01,865.877434758329,2.6989236374697,1.3195080669783796
1972-07-01,866.817095715691,2.98303075043144,1.9793754444807994
1972-10-01,868.477667438493,2.51679708366906,2.35396506787516
1973-01-01,870.9224786168929,2.78137934354212,4.10476243462432
1973-04-01,872.005337909907,5.40651577208519,4.8251606569941305
1973-07-01,871.4781121855531,5.26070917746734,7.305049857124269
1973-10-01,872.4228661386711,5.55313726551239,5.91455535839384
1974-01-01,871.559444090559,6.81445191699065,4.16709407313105
1974-04-01,871.7968590487679,9.81088149469854,5.22117434188077
1974-07-01,870.847085561404,11.2326076730579,4.69510528237954
1974-10-01,870.4579235351221,9.69586704019246,0.5489703122761895
1975-01-01,869.232815305208,7.73036129994974,-3.0162272632662006
1975-04-01,869.9449746097599,6.05775985579138,-3.0328674144282903
1975-07-01,871.642528895607,5.9357222811132,-0.9117197133941701
1975-10-01,872.980629164007,6.48424249699385,-0.9082753421578804
1976-01-01,875.205169394272,6.03117171368492,-1.1108199091572297
1976-04-01,875.9358673205289,4.77363640628643,-0.39538171868499994
1976-07-01,876.4817820753841,6.1902606584652,-0.3670736715030305
1976-10-01,877.201787376241,6.23931009946042,-0.7447112433572007
1977-01-01,878.381039928543,6.66586312585643,-1.1301806488628197
1977-04-01,880.304348718904,6.07285194161283,-0.9228212669285201
1977-07-01,882.091449493443,6.58044391986745,-0.3154553770486199
1977-10-01,882.093442253231,5.79029333342469,0.5487651511931402
1978-01-01,882.412773985872,6.19914354516757,0.9283919847971998
1978-04-01,886.2047344281249,6.83536698993438,1.3127847557419994
1978-07-01,887.2054591878649,6.77971071691894,2.1528322853293
1978-10-01,888.5406313821511,7.13850798941664,3.462395826387019
1979-01-01,888.72006411908,5.44060064549745,4.2033808099413505
1979-04-01,888.826752475034,8.69296022516785,3.8590312300993794
1979-07-01,889.5668119546331,7.28071275084212,4.592011971887589
1979-10-01,889.816545031333,8.28785942159275,7.334152081811659
1980-01-01,890.130622445376,9.6648713655218,8.01929608917697
1980-04-01,888.048664462219,8.85348681777391,5.1808536324830605
1980-07-01,887.9297390241559,8.76810130841828,1.5799105910790097
1980-10-01,889.7774858727489,9.66308648787812,8.19589523399077
1981-01-01,891.7179585407849,8.77262401461196,9.300505037808728
1981-04-01,890.9741232257501,7.49861375778814,11.082932045762972
1981-07-01,892.1645119764421,7.26814549125994,11.22402443375286
1981-10-01,891.068935664419,7.07790546844843,7.115477490285779
1982-01-01,889.503095481728,5.81776498663775,8.575940883086329
1982-04-01,889.9582352758661,5.37257020825924,9.46431658080746
1982-07-01,889.575235933061,6.34343323831954,5.65979305553376
1982-10-01,889.615236719642,5.54859887928989,4.10228955769656
1983-01-01,890.9244198071409,5.20907607719654,3.5556151584263294
1983-04-01,893.174436261632,3.05449593193584,4.2938491104352
1983-07-01,895.153674092315,6.01943927384448,5.1072599664809095
1983-10-01,897.2183939197149,3.20472737300762,5.660733395344881
1984-01-01,899.154323629772,4.01413248128858,6.24738741687597
1984-04-01,900.867329139832,4.66278266662011,6.817133266708501
1984-07-01,901.8267222579309,3.72853741026209,8.3379427268499
1984-10-01,902.6441451798449,2.84848164324705,6.034100344876709
1985-01-01,903.60845991146,5.40920527320273,4.810314722670199
1985-04-01,904.485079918946,3.46140174174647,4.502571467210519
1985-07-01,906.000805956328,4.07383933888332,4.389816511355599
1985-10-01,906.7415051391979,2.87214568316763,4.608305232474399
1986-01-01,907.670920294559,4.29728456245569,4.58039610988026
1986-04-01,908.120205849066,2.72925147993113,3.7734088781783903
1986-07-01,909.072326794417,2.72719113375923,3.34176100420631
1986-10-01,909.607286211128,3.25530592895483,3.3097090869222097
1987-01-01,910.346393010482,2.53060720767503,3.7026382127918795
1987-04-01,911.4187997625571,3.86073901561983,3.8831103746072095
1987-07-01,912.282239395865,3.55066338246492,3.88026614808841
1987-10-01,913.98462312912,4.06123080249204,3.7656199431670605
1988-01-01,914.500174417196,3.84772159284811,3.1605451706499097
1988-04-01,915.805648184748,4.81105106561219,3.4565610201604793
1988-07-01,916.389907705226,4.56282964931668,4.106664268845561
1988-10-01,917.713564642629,4.4641366499444,4.546067761760221
1989-01-01,918.72482903525,4.34301518066017,5.50428913625564
1989-04-01,919.4850318152851,3.62095204535516,6.116238691496
1989-07-01,920.223037466994,2.95315193951854,5.8010654563273105
1989-10-01,920.41982476909,3.65759015304874,5.4815773589151995
1990-01-01,921.506778015299,4.57950823015045,5.020900884643001
1990-04-01,921.869090898983,4.44259136217431,4.80700977181769
1990-07-01,921.935650422545,4.00704309055187,4.4520299719713305
1990-10-01,921.0210763577379,3.36096446509541,4.06805251241952
1991-01-01,920.552037442887,3.53162143058234,2.9030952042538303
1991-04-01,921.328702632293,3.07715707631414,2.6293286488694
1991-07-01,921.832788667634,3.56723989174974,2.5061053107536604
1991-10-01,922.1807275024449,3.15120092136754,1.6727052120966794
1992-01-01,923.3708693445869,3.04830262276176,0.9514922701265305
