date,core_pce_ann
1960-01-01,1.25953129633891
1960-04-01,1.51899740519761
1960-07-01,1.55882459527092
1960-10-01,1.30918951611556
1961-01-01,0.683322392728366
1961-04-01,1.31365218756709
1961-07-01,1.72869519404676
1961-10-01,0.963784042060444
1962-01-01,1.48025053868638
1962-04-01,1.53448352058553
1962-07-01,1.30732162148299
1962-10-01,0.753310122767461
1963-01-01,1.32018252695936
1963-04-01,1.51388722173777
1963-07-01,1.5310077173445
1963-10-01,1.9312230165552
1964-01-01,1.68819052533176
1964-04-01,1.187736733182
1964-07-01,1.10673789981509
1964-10-01,1.02317409771266
1965-01-01,1.50296104776602
1965-04-01,1.24682729278462
1965-07-01,1.22821238651828
1965-10-01,1.33487716336452
1966-01-01,1.99102188512387
1966-04-01,3.24802378850355
1966-07-01,3.27550894515694
1966-10-01,3.45349266508561
1967-01-01,2.19289295576741
1967-04-01,2.669736707713
1967-07-01,3.60085037778697
1967-10-01,4.02916296347616
1968-01-01,4.53415201857521
1968-04-01,4.62729805939907
1968-07-01,4.42905921386978
1968-10-01,4.64467043203335
1969-01-01,4.35364504871592
1969-04-01,4.75449896256929
1969-07-01,4.5717069689637
1969-10-01,4.68552000053477
1970-01-01,4.33133606666358
1970-04-01,4.50160130556928
1970-07-01,4.40823320396949
1970-10-01,5.59545236741983
1971-01-01,5.03327909275431
1971-04-01,4.54016895718993
1971-07-01,3.74489347781698
1971-10-01,2.28567175726509
1972-01-01,3.8146122338404
1972-04-01,2.6989236374697
1972-07-01,2.98303075043144
1972-10-01,2.51679708366906
1973-01-01,2.78137934354212
1973-04-01,5.40651577208519
1973-07-01,5.26070917746734
1973-10-01,5.55313726551239
1974-01-01,6.81445191699065
1974-04-01,9.81088149469854
1974-07-01,11.2326076730579
1974-10-01,9.69586704019246
1975-01-01,7.73036129994974
1975-04-01,6.05775985579138
1975-07-01,5.9357222811132
1975-10-01,6.48424249699385
1976-01-01,6.03117171368492
1976-04-01,4.77363640628643
1976-07-01,6.1902606584652
1976-10-01,6.23931009946042
1977-01-01,6.66586312585643
1977-04-01,6.07285194161283
1977-07-01,6.58044391986745
1977-10-01,5.79029333342469
1978-01-01,6.19914354516757
1978-04-01,6.83536698993438
1978-07-01,6.77971071691894
1978-10-01,7.13850798941664
1979-01-01,5.44060064549745
1979-04-01,8.69296022516785
