date,lgdp100,core_infl_ann,real_rate
1971-01-01,1387.71109223015,6.30032647568109,1.7098495394318904
1971-04-01,1388.98397266237,6.29860131589387,0.5429803952706695
1971-07-01,1390.53152661331,5.73966238416505,0.6166636578566393
1971-10-01,1391.3237513115,6.34026344221335,0.1081994315733299
1972-01-01,1392.7946926135198,5.78595669579262,-0.7916416039191194
1972-04-01,1393.46578089672,5.15767508844534,-0.8184857676823007
1972-07-01,1394.8238854813599,8.09145624478053,-1.2961074804498107
1972-10-01,1396.27710070147,8.58849047482585,-0.2080422547871299
1973-01-01,1398.1840452710999,7.41485567117172,-0.18552824201919016
1973-04-01,1399.38924844115,8.94987139129467,0.7219413765824498
1973-07-01,1400.75315418122,9.04683877691756,2.4062890077032506
1973-10-01,1401.83983831756,10.9857816259555,2.7908334826626398
1974-01-01,1402.82505333097,12.5551770761189,1.669616861082499
1974-04-01,1403.0058368411699,12.4434632825356,1.067467633130601
1974-07-01,1403.68476814207,12.5378919861546,0.2615138351448003
1974-10-01,1402.0785163099401,13.4389481957777,-1.3321516973914012
1975-01-01,1401.14081141197,5.44903687626215,-1.620723724481179
1975-04-01,1401.6558059062,8.85178112275571,-2.6548042420850093
1975-07-01,1402.54512562265,7.79485195833103,-2.1993858928236403
1975-10-01,1403.59626805876,8.26213684625922,-0.6707003207247704
1976-01-01,1405.2158119789701,9.6930189301018,-1.2952053961472592
1976-04-01,1406.49363303853,10.871820891808,-0.08130217485393132
1976-07-01,1407.33192091463,7.37654813135328,0.8898246174368296
1976-10-01,1408.92531672016,11.5974978794251,-0.10304876478850034
1977-01-01,1409.33670494531,9.64863835487244,1.0363098409296896
1977-04-01,1409.47135157218,9.29882582873109,0.4863228924999383
1977-07-01,1409.54990461103,8.86714264788742,-0.3016731015983005
1977-10-01,1410.73894170775,7.57887951723995,0.8489662780978211
1978-01-01,1411.37991328931,5.88873970935922,0.6025366897935003
1978-04-01,1412.51445019545,7.74773975361501,0.8279369051857506
1978-07-01,1412.98170116811,7.16854635273649,2.6483613358752
1978-10-01,1414.16557315239,6.93606227996714,2.76974202124309
1979-01-01,1414.67502652028,7.91074869040817,0.67483621661742
